dataset,mean_correlation,ci_lower,ci_upper
awa,0.7059562068149018,0.6363431553930259,0.7657892283356594
mhsc,0.5395159785255075,0.5324615550699571,0.5472787043400161
nlpos,0.6335122489729256,0.6071395500861582,0.6582952195879692
popq,0.5343564172258557,0.5143491569898704,0.5546754042150551
sbic,0.7056189978979966,0.6787465783583111,0.7325361856881395
