demo_1,demo_2,model,dataset,ci_lower,ci_upper,sample_size,z,p_value,corrected_p_value,significant
average_asian,average_black,solar,popq,-0.07519116620691516,0.15397014108620438,300,0.6306862752049335,0.5282456748156554,0.5282456748156554,False
average_asian,average_white,solar,popq,-0.2555995248939614,-0.07998070685876933,439,-3.4497064593784326,0.0005611964178546813,0.0011223928357093627,True
average_black,average_white,solar,popq,-0.2892785112878871,-0.13426237158583634,630,-5.118267483207993,3.083550799143353e-07,9.250652397430059e-07,True
average_asian,average_black,gpt,sbic,0.039551248609679096,0.15790235318816492,602,2.562130021632454,0.010403236353750067,0.010403236353750067,True
average_asian,average_hispanic,gpt,sbic,-0.12151205162133771,-0.03741016877908295,841,-3.0371409894497843,0.002388337168220289,0.004776674336440578,True
average_asian,average_white,gpt,sbic,-0.07340186393742261,-0.04486341570435881,6420,-6.9174662465868,4.597877634182623e-12,2.2989388170913116e-11,True
average_black,average_hispanic,gpt,sbic,-0.23829239185471832,-0.11801176538672158,486,-5.631920219022515,1.782141256789771e-08,7.128565027159084e-08,True
average_black,average_white,gpt,sbic,-0.13164382061492474,-0.08944430334997586,3928,-8.694683017181996,0.0,0.0,True
average_hispanic,average_white,gpt,sbic,0.014436197972054168,0.04301083992187708,6096,3.930126731779369,8.490110055237032e-05,0.00025470330165711097,True
average_asian,average_black,gemini,sbic,-0.020330274150395827,0.08570970108836934,567,0.7418570513443048,0.45817394991498683,0.45817394991498683,False
average_asian,average_hispanic,gemini,sbic,-0.1374278542825188,-0.05624749838045114,807,-3.488251086486186,0.00048619127625659786,0.0013986869546587233,True
average_asian,average_white,gemini,sbic,-0.07842274622975004,-0.0529504371302283,6104,-6.890405975749859,5.5633275763966594e-12,3.3379965458379957e-11,True
average_black,average_hispanic,gemini,sbic,-0.19256193213143705,-0.07228622180955173,462,-3.7123635525211633,0.00020533276137513212,0.0008213310455005285,True
average_black,average_white,gemini,sbic,-0.10085629902520148,-0.05891995438729016,3679,-5.654507955940818,1.562933582555104e-08,7.814667912775519e-08,True
average_hispanic,average_white,gemini,sbic,0.016330216890710892,0.042811724009459845,5805,3.4994443094334717,0.0004662289848862411,0.0013986869546587233,True
average_asian,average_black,solar,sbic,0.04028424815940678,0.18092992575481667,574,2.575677521284703,0.010004390323231638,0.030013170969694913,True
average_asian,average_hispanic,solar,sbic,-0.10457185190789536,-0.00176230900137698,764,-1.985688064893374,0.04706797106559679,0.09413594213119358,False
average_asian,average_white,solar,sbic,-0.06211392131017503,-0.029009124919993048,5933,-5.02332361987232,5.078486404741511e-07,2.5392432023707556e-06,True
average_black,average_hispanic,solar,sbic,-0.22202882171583374,-0.09880204276793571,449,-4.696134901337788,2.6513047557408242e-06,1.0605219022963297e-05,True
average_black,average_white,solar,sbic,-0.13955296332783376,-0.08992244101701656,3699,-8.532380554328812,0.0,0.0,True
average_hispanic,average_white,solar,sbic,-0.022666932024287573,0.007939145953310257,5567,-0.9585237144004768,0.3377987392472086,0.3377987392472086,False
