dataset,model,demographic,correlation,p_value,sample_size,ci_lower,ci_upper,p_corrected,significant
mhsc,solar,asian,0.38360998933280743,1.9241599918793585e-178,5099,0.3599512950367956,0.4067756393917065,9.620799959396793e-178,True
mhsc,solar,black,0.40005407736000764,2.1013278866052242e-278,7291,0.380594603343168,0.41915940935207924,1.470929520623657e-277,True
mhsc,solar,hispanic,0.41454605866060046,3.74082349749133e-145,3493,0.38669779414029165,0.4416389755705371,7.48164699498266e-145,True
mhsc,solar,man,0.41337147333899094,0.0,26867,0.4034079360196772,0.42323699742595366,0.0,True
mhsc,solar,white,0.4436325479954407,0.0,36691,0.4353766332209738,0.4518138483861259,0.0,True
mhsc,solar,woman,0.4378880929893392,0.0,31497,0.4289185626059687,0.4467712889070714,0.0,True
mhsc,solar,overall,0.44906800874617475,0.0,39260,0.44113577314703106,0.4569300845706025,0.0,True
nlpos,gpt,asian,0.6482898109980808,8.061432450750302e-34,272,0.5735800113231835,0.7123033901138188,1.2898291921200483e-32,True
nlpos,gpt,black,0.4129617262212608,7.59155213421511e-09,181,0.2842238148796165,0.5270720000588223,6.832396920793599e-08,True
nlpos,gpt,hispanic,0.5947552494516253,4.1580185308363314e-23,227,0.503539422707792,0.6728582899653701,4.989622237003597e-22,True
nlpos,gpt,man,0.6300701384197376,1.7457897233982776e-34,299,0.556405601809805,0.6939075409747741,2.967842529777072e-33,True
nlpos,gpt,white,0.6636395320521771,2.507657792283113e-39,299,0.594998847265578,0.722669567796659,4.764549805337915e-38,True
nlpos,gpt,woman,0.6710936618766813,1.7278408066770267e-40,299,0.6036116933466136,0.7290285984348566,3.455681613354054e-39,True
nlpos,gpt,overall,0.7043807469365495,4.049274760118728e-46,299,0.6422663055410546,0.7573038992452311,8.503476996249329e-45,True
nlpos,gemini,asian,0.5531958801654764,5.769723069760092e-23,269,0.4643177137930279,0.6310433013914134,6.346695376736102e-22,True
nlpos,gemini,black,0.35482170331649376,1.176114509196869e-06,178,0.21917552575310614,0.47701170909703433,9.408916073574952e-06,True
nlpos,gemini,hispanic,0.497154827458159,2.1871323101035294e-15,224,0.39159141357026517,0.5898012142758152,2.1871323101035292e-14,True
nlpos,gemini,man,0.5534691317208442,3.7213189508472112e-25,296,0.4690614392966578,0.6278571356853324,4.8377146361013746e-24,True
nlpos,gemini,white,0.6171927984410843,1.8225624473208206e-32,296,0.541273798870188,0.6831303761184048,2.733843670981231e-31,True
nlpos,gemini,woman,0.6022590865926953,1.3244184960489725e-30,296,0.5242496823024867,0.6702444519625134,1.8541858944685615e-29,True
nlpos,gemini,overall,0.6465708654679043,1.961234917013741e-36,296,0.5749468238683854,0.7083607027239166,3.530222850624734e-35,True
nlpos,solar,asian,0.18120329377035918,0.0027034446045163985,272,0.06363931874186823,0.29380681312419726,0.008110333813549196,True
nlpos,solar,black,0.13343070141767216,0.07334057548773334,181,-0.012673707931940614,0.27395673698307127,0.07334057548773334,False
nlpos,solar,hispanic,0.1587110911769613,0.016701619120077716,227,0.029100382766354654,0.28307317140521154,0.03340323824015543,True
nlpos,solar,man,0.2572179260674449,6.63379481975049e-06,299,0.14810887602979433,0.36014067034811403,3.316897409875245e-05,True
nlpos,solar,white,0.27281048376614203,1.6785149762863408e-06,299,0.16446967385244693,0.3746473495635168,1.1749604834004386e-05,True
nlpos,solar,woman,0.26621972471717525,3.032464896035492e-06,299,0.15754690918940084,0.3685216538581314,1.819478937621295e-05,True
nlpos,solar,overall,0.23854106495784042,3.075477538278869e-05,299,0.12859010824611591,0.34269871602563673,0.00012301910153115475,True
popq,gpt,asian,0.477497581134106,1.1249114044823563e-42,727,0.4193443915187393,0.5317480864972141,7.874379831376494e-42,True
popq,gpt,black,0.4241315851449403,3.4723585917328818e-46,1029,0.37267848121717384,0.4729847594034964,2.7778868733863054e-45,True
popq,gpt,man,0.5797616325294296,2.306055152087085e-134,1488,0.5450011929652618,0.6125324752917419,2.9978716977132103e-133,True
popq,gpt,white,0.6737160631724807,1.2607713541869608e-198,1497,0.6450702568231541,0.700470866452616,2.2693884375365295e-197,True
popq,gpt,woman,0.6088927176745168,2.8789959728950696e-151,1484,0.5758491227816275,0.6399502109021595,4.6063935566321113e-150,True
popq,gpt,overall,0.6721853023670725,2.108831812454308e-197,1497,0.6434337348890203,0.6990430555533825,3.5850140811723233e-196,True
popq,gemini,asian,0.4080614992592087,1.3922298405815077e-30,728,0.3456473269268753,0.4668809786673421,4.176689521744523e-30,True
popq,gemini,black,0.35865869381730575,1.5533124580965576e-32,1027,0.3041595593363441,0.41081774631538615,6.21324983238623e-32,True
